category,question_text,option_A,option_B,option_C,option_D,correct_answer,difficulty,graph_image_path,explanation
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,An NGO collects data on rural education using surveys but finds inconsistent responses. What's a better method?,Train surveyors and use digital tools,Ask fewer questions,Avoid data collection,Ignore inconsistencies,A,hard,,Well-trained staff and tools improve data quality.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,An NGO collects data on rural education using surveys but finds inconsistent responses. What's a better method?,Train surveyors and use digital tools,Ask fewer questions,Avoid data collection,Ignore inconsistencies,A,hard,,Well-trained staff and tools improve data quality.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A startup wants to launch an e-commerce app but has a tight budget. What is the most practical step?,Build a basic MVP first,Hire a big team,Run full-scale ads,Ignore testing,A,medium,,An MVP is cost-effective and helps validate the idea early.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,An NGO collects data on rural education using surveys but finds inconsistent responses. What's a better method?,Train surveyors and use digital tools,Ask fewer questions,Avoid data collection,Ignore inconsistencies,A,hard,,Well-trained staff and tools improve data quality.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A student wants to study IT but lacks internet access at home. What is the best solution to continue learning?,Use offline learning apps and local libraries,Wait until they get internet,Drop the course,Ask a friend to do it,A,easy,,Offline tools and public resources help bridge the digital divide.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,"A school plans to implement a digital attendance system, but some teachers are not comfortable using technology. What should be done?",Provide basic tech training,Ignore the teachers' concerns,Delay the system,Force all teachers to use it immediately,A,medium,,Training ensures smooth adoption and reduces resistance.
case_study,A healthcare app failed because users didn't understand its features. What should the company have done?,Conduct usability testing with target users,Add more features,Cut development time,Launch without feedback,A,hard,,Testing helps align design with user expectations.
case_study,A group of students is struggling to complete their assignment on time. Each member is unclear about their task. What should they do first?,Assign tasks clearly,Wait for help,Ask the teacher to extend the deadline,Let one person do everything,A,easy,,Clear task assignment is key to effective teamwork.
